"ID","NYEAR","MONTH_NUM","NMONTHNUM","NMONTH","DAYS","CUMSTARTDAYS","CUMDAYS"
"578","2048","2","M2","Jeth","31","17564","17594"
"579","2048","3","M3","Aasad","32","17595","17626"
"580","2048","4","M4","Srawan","31","17627","17657"
"581","2048","5","M5","Bhadra","31","17658","17688"
"582","2048","6","M6","Aaswin","31","17689","17719"
"583","2048","7","M7","Kartik","30","17720","17749"
"584","2048","8","M8","Mangsir","29","17750","17778"
"585","2048","9","M9","Paush","30","17779","17808"
"586","2048","10","M10","Magh","29","17809","17837"
"587","2048","11","M11","Falgun","30","17838","17867"
"588","2048","12","M12","Chaitra","30","17868","17897"
"589","2049","1","M1","Baisakh","31","17898","17928"
"590","2049","2","M2","Jeth","32","17929","17960"
"591","2049","3","M3","Aasad","31","17961","17991"
"592","2049","4","M4","Srawan","32","17992","18023"
"593","2049","5","M5","Bhadra","31","18024","18054"
"594","2049","6","M6","Aaswin","30","18055","18084"
"595","2049","7","M7","Kartik","30","18085","18114"
"596","2049","8","M8","Mangsir","30","18115","18144"
"597","2049","9","M9","Paush","29","18145","18173"
"598","2049","10","M10","Magh","29","18174","18202"
"599","2049","11","M11","Falgun","30","18203","18232"
"600","2049","12","M12","Chaitra","30","18233","18262"
"601","2050","1","M1","Baisakh","31","18263","18293"
"602","2050","2","M2","Jeth","32","18294","18325"
"603","2050","3","M3","Aasad","31","18326","18356"
"604","2050","4","M4","Srawan","32","18357","18388"
"605","2050","5","M5","Bhadra","31","18389","18419"
"606","2050","6","M6","Aaswin","30","18420","18449"
"607","2050","7","M7","Kartik","30","18450","18479"
"608","2050","8","M8","Mangsir","30","18480","18509"
"609","2050","9","M9","Paush","29","18510","18538"
"610","2050","10","M10","Magh","30","18539","18568"
"611","2050","11","M11","Falgun","29","18569","18597"
"612","2050","12","M12","Chaitra","31","18598","18628"
"613","2051","1","M1","Baisakh","31","18629","18659"
"614","2051","2","M2","Jeth","31","18660","18690"
"615","2051","3","M3","Aasad","31","18691","18721"
"616","2051","4","M4","Srawan","32","18722","18753"
"617","2051","5","M5","Bhadra","31","18754","18784"
"618","2051","6","M6","Aaswin","31","18785","18815"
"619","2051","7","M7","Kartik","30","18816","18845"
"620","2051","8","M8","Mangsir","29","18846","18874"
"621","2051","9","M9","Paush","30","18875","18904"
"622","2051","10","M10","Magh","29","18905","18933"
"623","2051","11","M11","Falgun","30","18934","18963"
"624","2051","12","M12","Chaitra","30","18964","18993"
"625","2052","1","M1","Baisakh","31","18994","19024"
"626","2052","2","M2","Jeth","31","19025","19055"
